,IRUC,L,K,T,VP,year
335,00000013052,0.0,0.0,587182.0,10970415.0,2016
336,00000013080,270.0,231992.0,14670203.0,255361703.0,2016
337,00000013085,256.0,0.0,4367196.0,74920043.0,2016
338,00000013087,0.0,0.0,1885427.0,17340321.0,2016
339,00000013107,0.0,0.0,403716.0,9590014.0,2016
340,00000013118,0.0,0.0,800473.0,12308635.0,2016
341,00000013141,0.0,127631.0,82028.0,10532479.0,2016
342,00000013152,0.0,0.0,2111178.0,37317522.0,2016
343,00000013160,0.0,0.0,11891.0,5346637.0,2016
344,00000013164,0.0,155047.0,388326.0,9327104.0,2016
345,00000013182,113.0,0.0,1225876.0,22974153.0,2016
346,00000013241,0.0,0.0,1122335.0,8940972.0,2016
347,00000013355,0.0,0.0,11553547.0,205074116.0,2016
348,00000013379,21.0,423836.0,-3626585.0,466507738.0,2016
349,00000013386,0.0,481490.0,3378523.0,35903026.0,2016
350,00000013401,121.0,2093584.0,2887468.0,21819562.0,2016
351,00000013423,0.0,683395.0,1280261.0,19008651.0,2016
352,00000013450,0.0,0.0,2110982.0,48464213.0,2016
353,00000013454,0.0,0.0,1503759.0,13064795.0,2016
354,00000013527,416.0,657047.0,6072590.0,240468831.0,2016
355,00000013559,0.0,0.0,-718331.0,17648872.0,2016
356,00000013575,0.0,195129.0,1464890.0,14809208.0,2016
357,00000013595,25.0,107289.0,9353.0,9101325.0,2016
358,00000013608,0.0,0.0,514876.0,5256576.0,2016
359,00000013632,0.0,0.0,1176405.0,17015047.0,2016
360,00000013645,97.0,0.0,1371487.0,77639997.0,2016
361,00000013651,0.0,1159475.0,4519174.0,139519437.0,2016
362,00000013729,0.0,105208.0,-386184.0,32349615.0,2016
363,00000013758,0.0,686645.0,5693764.0,92772444.0,2016
364,00000013759,0.0,183647.0,836839.0,9750146.0,2016
365,00000013807,0.0,0.0,830687.0,20956935.0,2016
366,00000013865,996.0,1514979.0,1761.0,104888045.0,2016
367,00000013872,0.0,0.0,33154257.0,658307787.0,2016
368,00000013876,0.0,0.0,160834.0,16982019.0,2016
369,00000013886,0.0,0.0,782135.0,7512264.0,2016
370,00000013890,0.0,163167.0,-1080576.0,9160921.0,2016
371,00000013892,0.0,0.0,1483455.0,32266089.0,2016
372,00000013896,0.0,286471.0,510412.0,27416665.0,2016
373,00000013900,0.0,0.0,375877.0,7617387.0,2016
